smiles,selfies,reward,eint_pred
BrBr,[Br][Br][Br][=N+1][=N+1][=C][N][Ring2][Ring1][Br][F],-130.25143320063188,61.4127750000003
[SiH3]C(Cl)=CBr,[Br][=Branch1][C][=C][=Branch1][Branch1][SiH3][Ring2][Br][O][Cl][Cl][F][F][F][=N+1][=N+1][Ring1][=O][N][Branch1][=Branch1][Branch1][=O][=Branch1][Ring2][F][=Branch1][Cl][Ring2][=Branch1][Branch1][Branch1][=C][=Branch1][#N][=Branch1][SiH3][=O][=N+1][O-1],-131.88225600000803,61.48400000000035
CC(=CNNBr)N=[N+],[Br][=Branch1][#N][N][C][=C][=Branch1][C][C][N][=N+1][=Branch1],-132.88486170250752,61.51455000000033
ClBr,[Br][Cl][SiH3][O-1][F][=C][Br][Br][Cl][#N][Branch1][#N][=N+1][Cl][O][=C][Branch1][N][Ring2][SiH3][#N][C][N][Ring1][O-1][SiH3][C][#N][F][SiH3][N][O-1][Br][=N+1][=Branch1][=O][=O][=N+1][O],-132.9316761600071,61.52960000000031
ClBr,[=Branch1][Br][Cl][Cl][Br][C][Cl][Ring1][#N][Ring2][Cl][SiH3][=Branch1][O-1][Cl][=N+1],-132.9316761600071,61.52960000000031
ClBr,[Br][Cl][C][Ring2][Branch1][=N+1][=C][C][F][Ring1][=O][O][=N+1][N][C],-132.9316761600071,61.52960000000031
ClBr,[Br][Cl][Br][=Branch1][SiH3][F][SiH3][Ring2],-132.9316761600071,61.52960000000031
Cl[N+]Br,[Cl][=N+1][Br][=O][C][C][=C][#N][Ring2][Cl][Ring2][=N+1][=C][Ring2][Cl][Ring2][#N][=O][Cl][=Branch1][=Branch1][=O][Cl][C][Cl][=O][F][F][F][F][=C][N][C][N][=N+1][Br][Ring2][Ring2][=Branch1][O-1][=Branch1][SiH3][SiH3][O-1][Br][SiH3][=O],-135.57283878063174,61.64357500000029
CO[N+]=C=CN=[N+](O)Cl,[Ring1][O][=Branch1][O-1][=C][=N+1][=C][=C][N][=N+1][Branch1][Ring2][=O][Ring1][Ring1][Cl][SiH3][=C][C][C][Ring2][SiH3][=C][Br][C][SiH3][O][F][=Branch1][=O][=N+1][=C][=O][F][=N+1][=C][Ring1][O-1][=N+1][Br][Br][N],-138.29833982563184,61.75152500000029
O[N+]=C=NBr,[Br][Branch1][N][=C][=N+1][O],-153.45882762250653,62.38785000000026
FCBr,[=Branch1][F][=C][Br][C][=C][Ring1][Ring2][=C][=C][Br][=O][=C][O][Ring1][=C][Branch1][Ring1][SiH3][Ring1][=N+1][=C][SiH3][=C][#N],-159.782240250006,62.64050000000024
C=CBr,[=C][=C][Br][=C][Br][O-1][C][=Branch1],-165.10451049000528,62.849300000000206
C=CBr,[Ring2][=C][=C][Br][Cl][=Branch1][C][=O][Cl][=Branch1][C][=Branch1][Br][Ring2][C][SiH3][Ring2][Ring2][Ring2][C][SiH3][Branch1],-165.10451049000528,62.849300000000206
C=[N+]([O-])Br,[=Branch1][C][=N+1][=Branch1][Ring2][=Branch1][Br][F][O-1][Br][F][O-1],-179.04447056249808,63.38074999999993
O=NBr,[Br][#N][=O][O][Ring1][SiH3][O][=C][Branch1][Br][#N][Br][=C][SiH3][Ring2][N][F][C][F],-187.4482728806157,63.69117499999966
FNBr,[Br][N][F][C][=C][Br][=C][Branch1],-193.09673160562198,63.89592499999989
OOBr,[=O][O][Br][O][C][SiH3][N][Ring1][SiH3],-195.1888409999995,63.97099999999998
OOBr,[=O][Ring1][F][O][Br][O][Branch1][F][=N+1][=C][=O][Br][=N+1][Cl][Branch1][O-1][Ring2][=Branch1][#N][Ring2][O-1][Branch1][C][Ring1][Cl][=C][O][=N+1][#N][N][C][Ring1][=O][=C][=O],-195.1888409999995,63.97099999999998
F[N+]Br,[F][=N+1][Br][SiH3][SiH3][Ring2][Br][Ring2][=N+1][=O][F][N][=O][SiH3][=O][Br][#N][Branch1][Branch1][Ring2][O-1][O][Ring2][=O][=Branch1][=O][C][=N+1][C][#N][Cl][O-1][=Branch1][SiH3][=C][=O][Br][Branch1][C][=Branch1][=C][O][N][N][Cl][=C],-195.1888409999995,63.97099999999998
ClC=NCl,[Cl][N][=C][Cl][C][C][=C][=O][N][=Branch1][O-1][#N][Ring2][O][Ring2][=N+1][N][O-1][N][Ring1][O][F][Ring1][Ring2][Br][Br][=Branch1][Cl][Branch1][=Branch1][N][Cl][O-1],-201.10288815563044,64.18107500000019
C#CBr,[=C][=C][Ring1][N][Br][#N][Br][SiH3][Cl][=Branch1][Br][=N+1][O][=Branch1][N][=Branch1][=Branch1][=O][C][Ring1][Cl][F][N][SiH3][=Branch1][Branch1][=C][N][SiH3],-203.7856176224936,64.27534999999978
FBr,[=Branch1][Br][Branch1][F][=N+1][SiH3][Cl][Br][Ring2][Cl][Ring1][O][O][O][Ring1][Ring2][=N+1][=C][N][=Branch1][=Branch1][=N+1][O][N][=O][Branch1][#N],-204.00837392249207,64.28314999999972
FBr,[F][Br][SiH3][SiH3][C][SiH3][Cl][N][=N+1][#N][Br][Ring1][Ring2][F][Ring2][Br][C][#N][Ring1][N][Ring2][#N][O-1][Ring1][=O][#N][N][Br][#N][#N][Ring2][O-1][Ring1][=N+1][#N][=C][Br][Ring2][Branch1][Ring2][O-1][Br][Ring1][=C][Cl][=O][Ring2][#N],-204.00837392249207,64.28314999999972
OON=C=CCl,[O][O][N][=C][=C][Cl][Ring1][=O][F][Ring1][=O][O][=Branch1][Cl][Ring2][N][=N+1][F][=N+1][=Branch1][Ring1][=O],-205.76284690249162,64.34094999999971
N#CBr,[=Branch1][Br][Branch1][C][#N][Ring1][Ring1][C][N][C][=O][N][N][C][Br][=N+1][Cl][Ring2],-206.76426848999347,64.37929999999977
O=CBr,[O][=C][Ring2][=C][=N+1][Br],-213.38855123063263,64.60782500000026
C=CCOCl,[=C][=C][C][O][Cl][=C],-215.93293762250994,64.68785000000034
[SiH3]CBr,[SiH3][C][Br][=Branch1][Ring2][Cl][Ring2][=O][Br][#N][Ring1][=C][Ring1][C][O][N][#N][C][SiH3][Ring1][Br],-216.08779500563358,64.69992500000029
[O-]NBr,[Br][#N][O-1][=C][=Branch1][O][Branch1][Br][#N][F][N][O-1][N][Branch1][SiH3][=O][F][O-1][Ring1][=Branch1][Branch1][=C][#N][=C][N][=N+1][O][Ring1][SiH3][=O][SiH3][SiH3][=Branch1][F][N][Ring2][N][C][O-1][#N][Branch1],-216.9883667756317,64.73052500000023
O=[N+]Br,[Br][=N+1][=O][Ring2][=C][#N][Ring2][C][=Branch1][Ring2][SiH3][Branch1][=Branch1][C][Ring2][O][=O][C][Branch1][Ring2][Cl][Cl][=C][=N+1][F][O-1][O-1][Branch1][=N+1][#N][O][Branch1][=Branch1][Ring2][Branch1][Ring1][Br][F][Ring1][O-1][Ring2][=Branch1][Br][O][Cl][=N+1][Branch1][=N+1][N],-218.69307747562831,64.78827500000011
NOBr,[#N][O][Br][O-1][Cl][Cl][O][O][=C][=Branch1][N][SiH3][=N+1][O][=N+1][Ring2][C][=N+1][Ring2][#N][O][C][#N][#N][=O][F][O][C][O][N][SiH3][Cl][N][F][Br][=Branch1][Br][Br][Br][=C][=Branch1][=C][Branch1][=Branch1],-223.07289414061825,64.93562499999977
CBr,[C][Br][F][=C][Ring2][Ring2][N][Branch1][Ring1][Ring2][=C][F],-223.66997135999077,64.95559999999969
CBr,[C][Br][Ring2][N][Br][Ring1][#N][Br][Ring2][C][SiH3],-223.66997135999077,64.95559999999969
CBr,[C][Br][O][=C][Br][=Branch1][C][Cl][O][N][=Branch1][C][=O][N][Ring1][Ring1][#N][Branch1][C][C][=Branch1][=Branch1],-223.66997135999077,64.95559999999969
FC=CCl,[F][=C][=Branch1][#N][Ring1][Br][=C][Ring2][=O][F][Cl][O-1][O-1][SiH3][F][Cl][Branch1][Branch1][N][Br][=Branch1][N][=C][Br][#N][Ring2][=N+1][Ring2][SiH3][=Branch1][=O][F][Cl][#N][Br],-228.30832251561648,65.10987499999972
[N+]NBr,[=N+1][N][Br][Cl][=C][=N+1][=Branch1][=N+1][Br][Br][Ring2][SiH3][Br][SiH3][Br][Branch1][C][Branch1][Br][N][#N][=Branch1][Ring1][Ring2][SiH3][Cl][O][=C][=C][Br][Branch1][N][Ring1][C][Ring2][Ring1][C][=Branch1][N][Ring2][=Branch1][=Branch1],-258.7481359224941,66.08564999999982
[SiH3]Br,[SiH3][Br][Br][=C][F][#N][Ring2][Ring1][Ring2][C][Br][=C][=Branch1],-267.90324006249585,66.36774999999987
[O-]CBr,[O-1][=C][Br][F][C][Ring2][Ring2][Br][#N][C][O][O-1][Cl][=C][Ring2][C][Br][SiH3][=N+1][F][Cl][Ring2][#N][=Branch1][O][=Branch1][=N+1][C][F][=N+1][=Branch1],-268.9255611024967,66.3989499999999
OBr,[=O][Br][Br][SiH3][=Branch1][=C][N][N][#N][=Branch1],-273.49882883999777,66.53779999999993
N#[N+][N+]CCl,[#N][Ring1][#N][=N+1][Ring2][Br][SiH3][=N+1][=Branch1][Ring1][Ring1][O][=C][Cl][C][#N][N][Branch1][SiH3][F][=Branch1][Br][F][Br][SiH3][F][=Branch1][Br][Ring2][=C][Branch1][=C][Ring2][O-1][=C][Br][=Branch1][Cl][=C][O-1][Ring2][=O][Cl][Ring2][F],-274.015740159998,66.55039999999994
[N+]Br,[=N+1][Br],-280.5223014399982,66.74879999999995
NBr,[N][=Branch1][Ring1][Br][=N+1],-281.6690889999981,66.78299999999994
NBr,[#N][Br][Ring2][N][Ring2][F][=Branch1][Br][Branch1][N][N],-281.6690889999981,66.78299999999994
NBr,[=Branch1][#N][Br][Br][F][=C][=C][=C][F][Cl][O-1][=C][#N][=O][Ring1][O-1][=C][=N+1],-281.6690889999981,66.78299999999994
ClCl,[Cl][Cl][=Branch1][=C][SiH3][O][Ring2][=C][=N+1][=N+1][C][Br][=C][=C][Branch1][=Branch1][Br],-291.8066815224973,67.08234999999992
ClCl,[Cl][=Branch1][Branch1][Cl][O-1][=Branch1][Ring1][F][SiH3][SiH3][SiH3][Br][N][=C][C][Br][Ring2][#N][Branch1][Branch1][SiH3],-291.80668152249774,67.08234999999993
Br,[Br],-313.0502109006119,67.69322499999963
Br,[=Branch1][Br][Ring2][=C][O][O-1][=C][O-1][=Branch1][O][N][N][=O][Ring1][=C][SiH3][O-1][=Branch1][N][=O][F],-313.0502109006119,67.69322499999963
Br,[Ring2][Ring2][Ring1][Br][=Branch1][Ring2][Br][=N+1][SiH3][Br][=Branch1][=Branch1][C][=N+1][F],-313.0502109006119,67.69322499999963
Br,[Br][Ring2][O-1][Ring2][Ring2][Br][=O][Ring2][SiH3][Ring2][#N][=C][Ring1][Ring2][#N][Branch1][O-1][Br][Ring2][Ring2][Ring1][Ring1][SiH3][=C][Ring1][F][#N][=Branch1][N][C][SiH3][#N][Cl][Br][Cl][SiH3][=C][=Branch1][C][=C],-313.0502109006119,67.69322499999963
ONN=[N+]Cl,[=O][N][N][=N+1][Cl][Cl][=O][Branch1][Cl][O-1][Cl][#N][=Branch1][O-1][Cl][#N][Branch1][=O][=O][=N+1][Ring2][=N+1][F][=Branch1][O-1][=Branch1][C][=C][F][=O][F],-314.83332352561285,67.74072499999966
FCCl,[Cl][C][Ring2][Ring2][Br][F][Br][Ring2][F][O-1][Branch1][Ring2][Ring2][Branch1][O-1][N][Br][SiH3][C][Ring1][=N+1][Cl][C][SiH3][O-1][=Branch1][O-1][Br][Br][C][Branch1][N][SiH3][=O][N][=C][Br][Br][Branch1][Ring2],-315.14504290561337,67.75232499999967
NOOOOF,[N][O][O][O][O][F][Ring1][Branch1][Br][Ring1][#N][F][Ring2][=Branch1][C][=C][C][=Branch1][O][Branch1][O-1][Br],-321.584115359987,67.92439999999964
[O-]Br,[Branch1][Ring2][Ring2][O-1][Br],-326.46256147561013,68.06827499999959
[O-]Br,[Br][O-1][N][O-1][Ring1][#N][Ring1][C][=O][#N][Ring2][=C][C][O][=C][Br][Branch1][F][C][#N][=O][Ring2][=Branch1][Ring1][=C][F][Br][O][=C][=N+1],-326.46256147561013,68.06827499999959
CONCl,[C][O][#N][Cl][Ring2][N][Ring2][Ring2][SiH3][Cl][Cl][#N][Ring1][=O][Ring2][Branch1][C][=O][=N+1][F][N][SiH3][F],-330.411541525608,68.17447499999953
O=C(F)F,[F][C][=Branch1][Cl][=O][F][=N+1][#N][C][Br][=C][=O][C][=O][#N][Cl][Br][Ring2][Ring2],-331.9037221506086,68.21822499999955
O=COCl,[Ring2][Cl][O][Branch1][C][=O][=C][Cl][Ring2][Ring2][#N][=N+1][=Branch1][=N+1][C][=Branch1][SiH3][Cl][O][=N+1][=Branch1][SiH3][Branch1][O-1][Br][Cl][Br][SiH3][=Branch1][SiH3][=N+1][=O][Ring2][O-1][Br][=C][F][F][=N+1][C][Cl][F][O][=N+1][#N][SiH3],-332.23695639060855,68.22462499999955
F[N+]NCl,[=Branch1][F][=N+1][N][Cl][Cl][=C][=N+1][Ring2][C][O][Br][Cl][Ring1][Ring2],-334.8381272224834,68.29584999999955
N=CCl,[N][=C][Cl][Cl][Cl][Br][=O][Cl][=C][Branch1][#N][Cl][O-1][=Branch1][C][O-1][O-1],-349.8686078006127,68.70477499999967
O=C[N+]=NNF,[F][N][Ring1][Br][N][=N+1][Ring2][Ring1][C][C][=O][C][=N+1][=O][=Branch1][Ring1][=N+1],-356.0504959999873,68.86399999999966
N#CO[N+]=[N+]F,[Ring2][Ring1][=N+1][Branch1][C][F][=N+1][Ring1][O-1][O][=C][#N][O-1][SiH3][Br][SiH3][Ring2][Cl][=Branch1][#N][Branch1][=Branch1][Cl][=N+1][#N][=C][=Branch1][Cl][=C][SiH3][Cl][=N+1],-356.847100062487,68.88774999999966
ClN1CN1,[C][Branch1][C][N][Ring1][Branch1][N][Ring2][=O][Cl][Cl][F][O][=O][Branch1][N][=Branch1][=O][#N][=C][=Branch1][O-1][=C][Ring1][=N+1][O-1][=O][SiH3][Ring1][N][C][Ring1][Br][Ring1][C][Cl][F][=O][N][=Branch1][=N+1][=C][O-1][C],-357.791411390612,68.91537499999966
FCl,[Cl][F][Br][#N][Br][=C][=O][=N+1][Ring2][=O][=C][=Branch1][=C][=N+1][=C][Ring2][=C][C][F],-357.81505599998695,68.91599999999966
FCC[SiH3],[C][Ring2][Ring1][Ring1][Branch1][=O][SiH3][Ring2][Cl][Branch1][=C][F][Br][Ring2][Cl][=C][=C][=O][Br][N][Ring1][O][Cl][=O][Ring1][F][=C][O-1][N],-370.0111739556108,69.23307499999963
CNCl,[=C][N][Cl][SiH3][O][=O][N][=Branch1][=Branch1],-371.04005375998577,69.26239999999963
O=[N+]=C=NF,[F][#N][=C][=N+1][=O][#N][N][N][N][Br][=O],-371.0882113224857,69.26364999999963
[N+]CCl,[=N+1][C][Cl][C][#N][C][O-1][Ring2][Cl][Branch1][=Branch1][Br][Br][Ring2][Ring2][Ring2][Ring1][=C][Ring1][=Branch1][Branch1][O-1][#N][=N+1][Br][Branch1][=N+1][C][O][Ring2][SiH3][O][N][#N],-381.1875522006115,69.52402499999965
CCl,[C][Cl][Branch1][=N+1][O][Ring1][O-1][Branch1][#N][=N+1][Ring2][Ring1][O-1][=O][F][=O][Ring2][=Branch1][O-1][Ring1][O-1][N][O-1][F][=Branch1][SiH3][F][Ring2][F][=N+1][SiH3][Br][#N][N][=Branch1][C][N][Branch1][=N+1][O][SiH3][=N+1],-382.1555814399861,69.54879999999964
CCl,[C][Cl][C][SiH3][=C][Branch1],-382.1555814399867,69.54879999999966
CCl,[=C][=Branch1][=C][Cl][=C][O][O-1][=N+1][=O][Ring1],-382.1555814399867,69.54879999999966
C=NONO,[Ring1][N][Ring2][Ring1][O-1][=Branch1][=Branch1][Branch1][=Branch1][O][N][=C][=O][Ring1][Ring2][=N+1][Branch1][F][O][N][Ring1],-383.916188255612,69.58867499999967
[SiH3]NCl,[Branch1][SiH3][N][Cl][Ring2][=N+1][O][C][Ring1][Ring2][O-1][F][C][SiH3][Ring1][=N+1][Br][N][=Branch1][=Branch1][F],-390.9112236756119,69.77147499999967
O=NF,[F][N][=O][=N+1][=O][=O][Cl][F][=O][O-1][Ring2][Cl][=C][F][#N][N][N][Ring2][N][Br][F][Cl][O-1][O-1],-390.9112236756119,69.77147499999967
N=CC=[N+]=O,[N][=C][C][=N+1][=O][=C][SiH3][Cl][O-1][F][=C][Branch1][=C][N][=C][SiH3][=O][C][O][=Branch1][Ring2][Branch1][Ring2][Branch1][=C][Ring1][=N+1][=N+1][Br][=Branch1],-390.93609568061277,69.76957499999969
[O-]ONCl,[Ring2][Cl][#N][Ring2][SiH3][O][=O][O-1][#N][O][O][Br][=Branch1][O][O][#N][F][Branch1][Br][Ring2][=C][SiH3][C][F],-391.40477503061373,69.78142499999971
COF,[C][Ring1][O-1][O][F][F][Br][Ring1][Cl][Cl][F][=O][C][#N][=N+1][=C][Branch1][Branch1][=C],-391.75592148061406,69.79282499999972
F[N+]F,[Ring2][F][=N+1][F][=N+1][Ring2][=C][=O][=Branch1][=N+1][O-1][C][Br][=O][SiH3][#N][C][=Branch1][O-1][F][O][#N][#N][SiH3][Branch1][Cl][=C][Branch1][=O][=O][Ring2][F][SiH3][=O][=O][SiH3][=C][C][=C][Cl][O][Ring2][N][Branch1][=Branch1][=C],-394.17039637561584,69.85372499999977
[SiH3]Cl,[=Branch1][SiH3][Cl][O],-399.4781703024918,69.9869499999998
[SiH3]Cl,[SiH3][Cl][F][Ring1][=O][Br][=C][Ring1][=C][C][Cl][=O][Cl][Cl][O-1][N][N][O-1],-399.4781703024918,69.9869499999998
OCl,[=Branch1][O][Cl],-403.71458402249226,70.09264999999981
OCl,[=O][Cl][=N+1][N][=Branch1][Ring2][=C][O-1][Ring1][Cl][C][N][=N+1][=Branch1][N][C][=N+1][Ring1][Br][=C][=Branch1][Ring2][#N][#N][C][Br][=Branch1][Ring2][Branch1][N][O][=C][=C][=C][C][=C][=Branch1][=C][=C][Ring2],-403.71458402249226,70.09264999999981
OCl,[Ring2][=O][Ring2][=C][=C][Cl][=O][#N][Ring1][Cl][SiH3][=C][F][C][N][O][O-1][=C][=C][F][=C][F][Cl][=Branch1][SiH3][#N][#N][C][O][=C],-403.71458402249226,70.09264999999981
OCl,[=O][Cl][Br][Ring2][Branch1],-403.71458402249226,70.09264999999981
OCl,[=O][Cl][SiH3][Cl][=O][=C][Br][Ring2][Ring2][N][#N][Branch1][N][C][Cl][Branch1][#N][=C][=O][=Branch1][=Branch1][Ring1][Branch1][#N][Cl][Br][#N][SiH3][Branch1][=N+1][=N+1][N][#N][Br][=O][=N+1][N][=C][Br][Ring2][Branch1][SiH3][Br],-403.71458402249226,70.09264999999981
O,[=O][Ring2][Br][Ring2][Ring1][C][=C][Ring1][=C][SiH3][Ring1][Br][O-1][=O][O-1][C][=N+1][N][SiH3][=N+1][=Branch1][SiH3][SiH3][F][=O][=Branch1][O][O-1][N][=N+1][O][O-1],-403.8873993024917,70.0969499999998
[N+]=C[O-],[=N+1][=Branch1][Branch1][C][Ring1][Br][O-1],-403.8873993024917,70.0969499999998
[O-]O,[O][Branch1][SiH3][O-1][Ring1][Ring1][F][F][Cl][=O][=N+1][=Branch1][Br][Ring1][=N+1][=Branch1][=N+1][SiH3][N][N][C][=C][O][Ring1][Ring1][Ring2][N][Cl][O-1][O-1][=C][#N][=O][SiH3][=C][=Branch1][N][=C],-403.8873993024917,70.0969499999998
[O-]N[O-],[O-1][#N][O-1][C][=N+1][=Branch1][N][=N+1][Br][Cl][Br][Cl][Cl][Branch1][=C][Ring2][SiH3][O-1][O-1][C][#N][Cl],-403.8873993024917,70.0969499999998
[N+]F,[=N+1][=Branch1][N][F][#N][O],-403.8873993024917,70.0969499999998
CF,[C][F][O-1][=O][O-1][=Branch1][O][#N][=O][SiH3][O-1][#N][Cl],-403.8873993024917,70.0969499999998
C[O-],[C][Ring2][Cl][Ring1][O-1][F][O-1][Cl][=C][Ring1][#N][O][Ring2][Cl][=C][=O][SiH3][SiH3][N][F][F][Cl][O][Cl][Branch1][C][Cl][Br][O-1][=N+1][Br][SiH3][#N][#N][=N+1][O-1][O-1][=O][Ring2][O-1][Cl][=O][Cl][Ring1][=N+1][C],-403.8873993024917,70.0969499999998
[O-]Cl,[Cl][O-1][Br][Ring2][C][O][#N][Cl][Br][=Branch1][#N][=C],-403.8873993024917,70.0969499999998
O,[=Branch1][O][Ring1][=Branch1][Branch1],-403.8873993024917,70.0969499999998
C=[N+]F,[F][=N+1][=C][Branch1][O-1][Ring2][O][SiH3][=Branch1],-403.8873993024917,70.0969499999998
CO,[Ring2][=O][C],-403.8873993024917,70.0969499999998
Cl,[Cl][Ring1][C][C][N][Cl][=O][Ring1][Ring2][Cl][C][O-1][F][Ring1][N][O-1][F][=C][C][N][F][O-1][=C][=Branch1][Br][#N][Cl][SiH3][N],-403.8873993024917,70.0969499999998
C=O,[C][O][Ring2][Br][=Branch1][Br][#N][Br][Ring1][F][SiH3][Br][O-1][C][=Branch1][C][C][O][C][=C][=C][Br][F][C][=O][Branch1][=N+1][=O][Ring2][=Branch1][=N+1][Br][=C][Branch1][Br][O-1][=N+1][=C][=C][O][=O][=O][N][Ring1][Ring1][=O],-403.8873993024917,70.0969499999998
[N+][O-],[Ring1][Branch1][Ring1][=N+1][=Branch1][C][O-1][Ring1][Ring1][Ring2][F][C][Ring1][SiH3][Branch1][=Branch1][Branch1][Branch1][SiH3][=Branch1][C][Br][Cl][C][N][F][Ring2][C][=O][Branch1][SiH3][Cl][Ring1][C][Cl][SiH3][O][=C][C],-403.8873993024917,70.0969499999998
N,[Branch1][Branch1][N],-403.8873993024917,70.0969499999998
F,[F][Ring2][Ring2][Br][=N+1][Ring1][Ring2][Ring1][Br][Cl][Br][Br][O][Cl][=N+1][C][Cl][C][=N+1][O-1][=N+1][O-1][=C][N][Ring2][#N][=C][SiH3][N][Ring1][SiH3][Ring1][=O][N][SiH3][Br][=Branch1][Ring1][Cl][F][C][=O][O][C][=C][SiH3][O-1],-403.88739930249227,70.09694999999981
[O-]O,[O][O-1][Ring2][Branch1][=Branch1][Br],-403.88739930249227,70.09694999999981
CF,[=C][F][Ring2][=N+1][=Branch1][=O][#N][O][F][=N+1][#N][Ring1][Branch1][=C][SiH3][Ring1][Ring2][F][O-1][Br],-403.88739930249227,70.09694999999981
,,-403.88739930249227,70.09694999999981
O=N[O-],[Ring1][=O][#N][O-1][=C][=C][Branch1][Branch1][SiH3][=N+1][O-1][#N][Ring1][Cl][Ring2][Ring2][SiH3][C][N][Branch1][Branch1],-403.88739930249227,70.09694999999981
O=C[O-],[O][=C][O-1][N][=O][N][Branch1][SiH3][O-1][=Branch1][N][Ring1][C][Ring2][#N][Ring2][Br][Cl][Ring2][=N+1][Br][C][Ring2][=O][Ring2][=N+1][SiH3],-403.88739930249227,70.09694999999981
OF,[O][F][=O][O][O-1][Br][O-1][Ring1],-403.88739930249227,70.09694999999981
,,-403.88739930249227,70.09694999999981
CC[O-],[Branch1][Ring2][C][C][O-1][N][#N][Cl][SiH3][=Branch1][F][=Branch1][#N][Ring1][O][#N][#N][N],-403.88739930249227,70.09694999999981
[O-],[O-1],-403.88739930249227,70.09694999999981
,,-403.88739930249227,70.09694999999981
NCl,[N][Cl][O][=C][Ring1][Br][C],-403.88739930249227,70.09694999999981
[O-]O,[=Branch1][O][=Branch1][=N+1][=Branch1][O-1][N][Ring2][=N+1][O][SiH3][#N][=N+1][=O][O-1][=N+1][=O][C][=O][N][=N+1][=O][Branch1][F][O-1][Ring1][Ring1][O][Br][=O],-403.88739930249227,70.09694999999981
O=O,[O][=O][=N+1][Ring2][=N+1][Br][=O][C][SiH3][O][N][Ring1][N][=C][C][=Branch1][F][Ring2][O-1][=O][Ring2][Br][Ring1][Br][O][Cl][Ring1][F][=N+1][=N+1][Ring1][N][O-1][O][=Branch1][Ring2][O][N],-403.88739930249227,70.09694999999981
N=O,[Ring1][#N][=O][Br][=C][N][Br][F][O-1][N][C][Cl],-403.88739930249227,70.09694999999981
Cl,[Cl][Ring1][=Branch1][Ring1][Cl][F][SiH3][=N+1][=O],-403.88739930249227,70.09694999999981
N=N[SiH3],[SiH3][N][N][Ring2][SiH3][C][Ring2][SiH3][=N+1][C][=C][O][Cl][O][Cl][F][Ring1][#N][C][=C][C][Cl][Br][Branch1][Ring2][N][N][O-1][F][Br][C],-403.88739930249227,70.09694999999981
[O-][SiH3],[Ring2][SiH3][O-1][=C][O][Ring2][Branch1][=N+1][#N][SiH3][=N+1][#N][C][=N+1],-403.88739930249227,70.09694999999981
N[SiH3],[#N][SiH3],-403.88739930249227,70.09694999999981
C[SiH3],[SiH3][Branch1][O][C],-403.88739930249227,70.09694999999981
O,[=O],-403.88739930249227,70.09694999999981
[N+]N,[N][Branch1][Branch1][Branch1][=N+1],-403.88739930249227,70.09694999999981
N,[Ring2][Branch1][#N],-403.88739930249227,70.09694999999981
N=O,[Ring2][N][=O],-403.88739930249227,70.09694999999981
