substituent,molecular_formula,Name,ΔVC-m,ΔVC -p,σm,σp,Fb,Rc,cid,molecular_weight,exact_mass,monoisotopic_mass,charge,heavy_atom_count,h_bond_donor_count,h_bond_acceptor_count,xlogp,tpsa,canonical_smiles,complexity,covalent_unit_count,all_atoms_count,all_atoms_count_unique,Num_of_Rings,heavy_atoms,aromatic_bond,single_bond,double_bond,triple_bond,C,H,N,O,S,F,Cl,P,Ge,Se,Si,Br,B,As
GeCl3,C6H5Cl3Ge,Phenyltrichlorogermane,16.339732889999393,17.3,0.71,0.79,0.65,0.14,66176,256.1,255.866861,255.866861,0,10,0,0,,0,C1=CC=C(C=C1)[Ge](Cl)(Cl)Cl,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,,3.0,,1.0,,,,,
P(CF3)2 ,C8H5F6P,Phenylbis(trifluoromethyl)phosphine,15.335716889999505,17.2,0.6,0.69,0.55,0.14,13093043,246.09,246.00330613,246.00330613,0,15,0,6,3.9,0,C1=CC=C(C=C1)P(C(F)(F)F)C(F)(F)F,188,1,20,4,1,15,6,9,0,0,8.0,5.0,,,,6.0,,1.0,,,,,,
SOCF3,C7H5F3OS,Phenyl trifluoromethyl sulphoxide,17.092744889999867,17.1,0.63,0.69,0.58,0.11,9794162,194.18,194.00132044,194.00132044,0,12,0,5,2.2,36.3,C1=CC=C(C=C1)S(=O)C(F)(F)F,172,1,17,5,1,12,6,5,1,0,7.0,5.0,,1.0,1.0,3.0,,,,,,,,
SCN ,C7H5NS,phenyl thiocyanate,16.778989889999487,17.1,0.51,0.52,0.49,0.03,21357,135.19,135.01427034,135.01427034,0,9,0,2,2.5,49.1,C1=CC=C(C=C1)SC#N,118,1,14,4,1,9,6,2,0,1,7.0,5.0,1.0,,1.0,,,,,,,,,
SCN ,C7H5NS,phenyl thiocyanate,16.778989889999487,17.1,0.51,0.52,0.49,0.03,7673,135.19,135.01427034,135.01427034,0,9,0,2,3.3,44.4,C1=CC=C(C=C1)N=C=S,121,1,14,4,1,9,6,1,2,0,7.0,5.0,1.0,,1.0,,,,,,,,,
N=C=S ,C7H5NS,Phenyl isothiocyanate,11.696158890000184,10.0,0.48,0.38,0.51,-0.13,21357,135.19,135.01427034,135.01427034,0,9,0,2,2.5,49.1,C1=CC=C(C=C1)SC#N,118,1,14,4,1,9,6,2,0,1,7.0,5.0,1.0,,1.0,,,,,,,,,
N=C=S ,C7H5NS,Phenyl isothiocyanate,11.696158890000184,10.0,0.48,0.38,0.51,-0.13,7673,135.19,135.01427034,135.01427034,0,9,0,2,3.3,44.4,C1=CC=C(C=C1)N=C=S,121,1,14,4,1,9,6,1,2,0,7.0,5.0,1.0,,1.0,,,,,,,,,
SO2Me ,C7H8O2S,Methyl phenyl sulfone,16.025977890000124,16.8,0.6,0.72,0.53,0.19,18369,156.20,156.02450067,156.02450067,0,10,0,2,0.5,42.5,CS(=O)(=O)C1=CC=CC=C1,182,1,18,4,1,10,6,2,2,0,7.0,8.0,,2.0,1.0,,,,,,,,,
SO2Me ,C7H8O2S,Methyl phenyl sulfone,16.025977890000124,16.8,0.6,0.72,0.53,0.19,2759784,156.20,156.02450067,156.02450067,0,10,0,3,1.4,45.5,COS(=O)C1=CC=CC=C1,119,1,18,4,1,10,6,3,1,0,7.0,8.0,,2.0,1.0,,,,,,,,,
S(O)OMe ,C7H8O2S,Methyl benzenesulfinate,10.378387889999912,10.7,0.5,0.54,0.47,0.07,18369,156.20,156.02450067,156.02450067,0,10,0,2,0.5,42.5,CS(=O)(=O)C1=CC=CC=C1,182,1,18,4,1,10,6,2,2,0,7.0,8.0,,2.0,1.0,,,,,,,,,
S(O)OMe ,C7H8O2S,Methyl benzenesulfinate,10.378387889999912,10.7,0.5,0.54,0.47,0.07,2759784,156.20,156.02450067,156.02450067,0,10,0,3,1.4,45.5,COS(=O)C1=CC=CC=C1,119,1,18,4,1,10,6,3,1,0,7.0,8.0,,2.0,1.0,,,,,,,,,
C(Me)(NO2)2,C8H8N2O4,dinitrophenylethane,15.335716889999505,16.5,0.54,0.61,0.5,0.11,21128517,196.16,196.04840674,196.04840674,0,14,0,4,2,91.6,CC(C1=CC=CC=C1)([N+](=O)[O-])[N+](=O)[O-],223,1,22,4,1,14,6,6,2,0,8.0,8.0,2.0,4.0,,,,,,,,,,
SeCN ,C7H5NSe,Phenyl selenocyanate,16.025977890000124,16.4,0.61,0.66,0.57,0.09,555340,182.09,182.95872,182.95872,0,9,0,1,,23.8,C1=CC=C(C=C1)[Se]C#N,118,1,14,4,1,9,6,2,0,1,7.0,5.0,1.0,,,,,,,1.0,,,,
SC6H4-4NO2,C12H9NO2S,2-Nitrodiphenyl sulfide,15.774973889999595,16.3,0.32,0.24,0.36,-0.12,348620,231.27,231.03539970,231.03539970,0,16,0,3,3.8,71.1,C1=CC=C(C=C1)SC2=CC=CC=C2[N+](=O)[O-],236,1,25,5,2,16,11,4,1,0,12.0,9.0,1.0,2.0,1.0,,,,,,,,,
SOC6H4-4NO2,C12H9NO3S,1-(benzenesulfinyl)-4-nitrobenzene,17.029993890000014,16.2,0.58,0.6,0.55,0.05,11746959,247.27,247.03031432,247.03031432,0,17,0,4,1.9,82.1,C1=CC=C(C=C1)S(=O)C2=CC=C(C=C2)[N+](=O)[O-],289,1,26,5,2,17,11,4,2,0,12.0,9.0,1.0,3.0,1.0,,,,,,,,,
SOCHF2 ,C7H6F2OS,difluoromethylsulfinylbenzene,16.84174088999934,16.2,0.54,0.58,0.51,0.07,14708150,176.19,176.01074231,176.01074231,0,11,0,4,1.9,36.3,C1=CC=C(C=C1)S(=O)C(F)F,143,1,17,5,1,11,6,4,1,0,7.0,6.0,,1.0,1.0,2.0,,,,,,,,
"C6H2-2,4,6(NO2)3",C12H7N3O6,"2,4,6-Trinitrobiphenyl",16.339732889999393,16.2,0.26,0.3,0.26,0.04,96500,289.20,289.03348495,289.03348495,0,21,0,6,3,138,C1=CC=C(C=C1)C2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],396,1,28,4,2,21,11,7,3,0,12.0,7.0,3.0,6.0,,,,,,,,,,
SiF3,C6H5F3Si,Phenyltrifluorosilane,14.206198889999907,16.1,0.54,0.69,0.47,0.22,9712,162.18,162.01126118,162.01126118,0,10,0,3,,0,C1=CC=C(C=C1)[Si](F)(F)F,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,3.0,,,,,1.0,,,
SO2Et,C8H10O2S,Ethyl phenyl sulfone,15.272965889999652,16.1,0.66,0.77,0.59,0.18,69032,170.23,170.04015073,170.04015073,0,11,0,2,0.9,42.5,CCS(=O)(=O)C1=CC=CC=C1,195,1,21,4,1,11,6,3,2,0,8.0,10.0,,2.0,1.0,,,,,,,,,
SCl,C6H5ClS,benzenesulfenyl chloride,13.64143989000011,15.9,0.44,0.48,0.42,0.06,11008040,144.62,143.9800490,143.9800490,0,8,0,1,2.8,25.3,C1=CC=C(C=C1)SCl,59.5,1,13,4,1,8,6,2,0,0,6.0,5.0,,,1.0,,1.0,,,,,,,
SO2NHC6H5,C12H11NO2S,N-Phenylbenzenesulfonamide,15.147463889999944,15.8,0.56,0.65,0.51,0.14,74296,233.29,233.05104977,233.05104977,0,16,1,3,2.6,54.6,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2,296,1,27,5,2,16,11,3,2,0,12.0,11.0,1.0,2.0,1.0,,,,,,,,,
NHSO2C6H5,C12H11NO2S,N-Phenylbenzenesulfonamide,3.6012798900001006,4.8,0.16,0.01,0.24,-0.23,74296,233.29,233.05104977,233.05104977,0,16,1,3,2.6,54.6,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2,296,1,27,5,2,16,11,3,2,0,12.0,11.0,1.0,2.0,1.0,,,,,,,,,
SC(CF3)3,C10H5F9S,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]sulfanylbenzene",14.206198889999907,15.7,0.51,0.58,0.47,0.11,4171287,328.20,327.99682479,327.99682479,0,20,0,10,5.7,25.3,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,285,1,25,4,1,20,6,14,0,0,10.0,5.0,,,1.0,9.0,,,,,,,,
GeBr3,C6H5Br3Ge,Tribromophenylgermane,14.83370888999956,15.6,0.66,0.73,0.61,0.12,628156,389.45,389.71327,387.71532,0,10,0,0,,0,C1=CC=C(C=C1)[Ge](Br)(Br)Br,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,,,,1.0,,,3.0,,
C=CCF3,C9H5F3,"3,3,3-trifluoroprop-1-ynylbenzene",14.708206889999852,15.6,0.41,0.51,0.37,0.14,11252247,170.13,170.03433465,170.03433465,0,12,0,3,3.2,0,C1=CC=C(C=C1)C#CC(F)(F)F,197,1,17,3,1,12,6,5,0,1,9.0,5.0,,,,3.0,,,,,,,,
SCOCF3 ,C8H5F3OS,Trifluorothioacetic acid S-phenyl ester,14.83370888999956,15.5,0.48,0.46,0.48,-0.02,4160251,206.19,206.00132044,206.00132044,0,13,0,5,3.3,42.4,C1=CC=C(C=C1)SC(=O)C(F)(F)F,184,1,18,5,1,13,6,6,1,0,8.0,5.0,,1.0,1.0,3.0,,,,,,,,
(CF2)3CF3,C10H5F9,"Benzene, (nonafluorobutyl)-",14.64545589,15.3,0.47,0.52,0.44,0.08,11077298,296.13,296.02475362,296.02475362,0,19,0,9,4.7,0,C1=CC=C(C=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,312,1,24,3,1,19,6,13,0,0,10.0,5.0,,,,9.0,,,,,,,,
(CF2)3CF3,C10H5F9,"Benzene, (nonafluorobutyl)-",14.64545589,15.3,0.47,0.52,0.44,0.08,610218,296.13,296.02475362,296.02475362,0,19,0,9,5.3,0,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,266,1,24,3,1,19,6,13,0,0,10.0,5.0,,,,9.0,,,,,,,,
C(CF3)3,C10H5F9,"Benzene, [2,2,2-trifluoro-1,1-bis(trifluoromethyl)ethyl]-",13.453186889999433,14.0,0.55,0.55,0.53,0.02,11077298,296.13,296.02475362,296.02475362,0,19,0,9,4.7,0,C1=CC=C(C=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,312,1,24,3,1,19,6,13,0,0,10.0,5.0,,,,9.0,,,,,,,,
C(CF3)3,C10H5F9,"Benzene, [2,2,2-trifluoro-1,1-bis(trifluoromethyl)ethyl]-",13.453186889999433,14.0,0.55,0.55,0.53,0.02,610218,296.13,296.02475362,296.02475362,0,19,0,9,5.3,0,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,266,1,24,3,1,19,6,13,0,0,10.0,5.0,,,,9.0,,,,,,,,
CF2CF2CF3,C9H5F7,(Heptafluoropropyl)benzene,14.64545589,15.3,0.44,0.48,0.42,0.06,13418746,246.12,246.02794729,246.02794729,0,16,0,7,4,0,C1=CC=C(C=C1)C(C(C(F)(F)F)(F)F)(F)F,237,1,21,3,1,16,6,10,0,0,9.0,5.0,,,,7.0,,,,,,,,
CF2CF2CF3,C9H5F7,(Heptafluoropropyl)benzene,14.64545589,15.3,0.44,0.48,0.42,0.06,581593,246.12,246.02794729,246.02794729,0,16,0,7,4,0,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)F,219,1,21,3,1,16,6,10,0,0,9.0,5.0,,,,7.0,,,,,,,,
CF(CF3)2,C9H5F7,(Heptafluoroisopropyl)benzene,13.202182890000019,13.8,0.37,0.53,-0.31,0.22,13418746,246.12,246.02794729,246.02794729,0,16,0,7,4,0,C1=CC=C(C=C1)C(C(C(F)(F)F)(F)F)(F)F,237,1,21,3,1,16,6,10,0,0,9.0,5.0,,,,7.0,,,,,,,,
CF(CF3)2,C9H5F7,(Heptafluoroisopropyl)benzene,13.202182890000019,13.8,0.37,0.53,-0.31,0.22,581593,246.12,246.02794729,246.02794729,0,16,0,7,4,0,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)F,219,1,21,3,1,16,6,10,0,0,9.0,5.0,,,,7.0,,,,,,,,
N(CF3)2,C8H5F6N,"N,N-Bis(trifluoromethyl)aniline",14.959210889999268,15.2,0.4,0.53,-0.35,0.18,138012,229.12,229.03261814,229.03261814,0,15,0,7,4.5,3.2,C1=CC=C(C=C1)N(C(F)(F)F)C(F)(F)F,188,1,20,4,1,15,6,9,0,0,8.0,5.0,1.0,,,6.0,,,,,,,,
S(O)OH,C6H6O2S,Benzenesulphinic acid,14.83370888999956,15.0,-0.04,-0.07,0.01,-0.08,12057,142.18,142.00885060,142.00885060,0,9,1,3,0.6,56.5,C1=CC=C(C=C1)S(=O)O,108,1,15,4,1,9,6,2,1,0,6.0,6.0,,2.0,1.0,,,,,,,,,
PF2 ,C6H5F2P,Phenyldifluorophosphine,13.076680890000311,14.9,0.49,0.59,0.44,0.15,6396630,146.07,146.00969348,146.00969348,0,9,0,2,2.6,0,C1=CC=C(C=C1)P(F)F,79.1,1,14,4,1,9,6,3,0,0,6.0,5.0,,,,2.0,,1.0,,,,,,
CF2CF3 ,C8H5F5,pentafluoroethylbenzene,13.955194889999378,14.7,0.47,0.52,0.44,0.08,11298517,196.12,196.03114097,196.03114097,0,13,0,5,3.4,0,C1=CC=C(C=C1)C(C(F)(F)F)(F)F,166,1,18,3,1,13,6,7,0,0,8.0,5.0,,,,5.0,,,,,,,,
SO2NMe2 ,C8H11NO2S,"N,N-Dimethylbenzenesulfonamide",13.64143989000011,14.5,0.51,0.65,0.44,0.21,84423,185.25,185.05104977,185.05104977,0,12,0,3,1.4,45.8,CN(C)S(=O)(=O)C1=CC=CC=C1,222,1,23,5,1,12,6,4,2,0,8.0,11.0,1.0,2.0,1.0,,,,,,,,,
SO2NMe2 ,C8H11NO2S,"N,N-Dimethylbenzenesulfonamide",13.64143989000011,14.5,0.51,0.65,0.44,0.21,733944,185.25,185.05104977,185.05104977,0,12,0,3,1,45.8,CN(C1=CC=CC=C1)S(=O)(=O)C,224,1,23,5,1,12,6,4,2,0,8.0,11.0,1.0,2.0,1.0,,,,,,,,,
N(Me)SO2Me ,C8H11NO2S,N-methyl-N-phenylmethanesulfonamide,3.538528890000247,3.9,0.21,0.24,0.21,0.03,84423,185.25,185.05104977,185.05104977,0,12,0,3,1.4,45.8,CN(C)S(=O)(=O)C1=CC=CC=C1,222,1,23,5,1,12,6,4,2,0,8.0,11.0,1.0,2.0,1.0,,,,,,,,,
N(Me)SO2Me ,C8H11NO2S,N-methyl-N-phenylmethanesulfonamide,3.538528890000247,3.9,0.21,0.24,0.21,0.03,733944,185.25,185.05104977,185.05104977,0,12,0,3,1,45.8,CN(C1=CC=CC=C1)S(=O)(=O)C,224,1,23,5,1,12,6,4,2,0,8.0,11.0,1.0,2.0,1.0,,,,,,,,,
SCF2CF2CF3,C9H5F7S,(heptafluoropropylthio)benzene,13.515937889999288,14.5,0.45,0.48,0.43,0.05,12804445,278.19,278.00001847,278.00001847,0,17,0,8,5,25.3,C1=CC=C(C=C1)SC(C(C(F)(F)F)(F)F)(F)F,255,1,22,4,1,17,6,11,0,0,9.0,5.0,,,1.0,7.0,,,,,,,,
SCF2CF2CF3,C9H5F7S,(heptafluoropropylthio)benzene,13.515937889999288,14.5,0.45,0.48,0.43,0.05,573351,278.19,278.00001847,278.00001847,0,17,0,8,5,25.3,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)F,237,1,22,4,1,17,6,11,0,0,9.0,5.0,,,1.0,7.0,,,,,,,,
SCF(CF3)2,C9H5F7S,"Phenyl 1,1,1,2,3,3,3-heptafluoroisopropyl sulfide",13.327684889999727,14.3,0.48,0.51,0.46,0.03,12804445,278.19,278.00001847,278.00001847,0,17,0,8,5,25.3,C1=CC=C(C=C1)SC(C(C(F)(F)F)(F)F)(F)F,255,1,22,4,1,17,6,11,0,0,9.0,5.0,,,1.0,7.0,,,,,,,,
SCF(CF3)2,C9H5F7S,"Phenyl 1,1,1,2,3,3,3-heptafluoroisopropyl sulfide",13.327684889999727,14.3,0.48,0.51,0.46,0.03,573351,278.19,278.00001847,278.00001847,0,17,0,8,5,25.3,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)F,237,1,22,4,1,17,6,11,0,0,9.0,5.0,,,1.0,7.0,,,,,,,,
CH=CHCOC6H4-4NO2,C15H11NO3,1-(4-nitrophenyl)-3-phenylprop-2-en-1-one,13.202182890000019,14.4,0.15,0.05,0.21,-0.16,5291959,253.25,253.07389321,253.07389321,0,19,0,3,2.9,62.9,C1=CC=C(C=C1)C=CC(=O)C2=CC=C(C=C2)[N+](=O)[O-],345,1,30,4,2,19,11,5,3,0,15.0,11.0,1.0,3.0,,,,,,,,,,
SiCl3,C6H5Cl3Si,Trichloro(phenyl)silane,12.762925889999927,14.4,0.48,0.56,0.44,0.12,7372,211.5,209.922610,209.922610,0,10,0,0,,0,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,,3.0,,,,1.0,,,
SO2C6H5,C12H10O2S,Diphenyl sulfone,13.64143989000011,14.4,0.62,0.68,0.58,0.1,31386,218.27,218.04015073,218.04015073,0,15,0,2,2.4,42.5,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,253,1,25,4,2,15,11,2,2,0,12.0,10.0,,2.0,1.0,,,,,,,,,
NC,C7H5N,Phenyl isocyanide,15.335716889999505,14.3,0.48,0.49,0.47,0.02,7505,103.12,103.042199164,103.042199164,0,8,0,1,1.6,23.8,C1=CC=C(C=C1)C#N,103,1,13,3,1,8,6,1,0,1,7.0,5.0,1.0,,,,,,,,,,,
NC,C7H5N,Phenyl isocyanide,15.335716889999505,14.3,0.48,0.49,0.47,0.02,13606,103.12,103.042199164,103.042199164,0,8,0,1,1.6,4.4,[C-]#[N+]C1=CC=CC=C1,103,1,13,3,1,8,6,1,0,1,7.0,5.0,1.0,,,,,,,,,,,
OCN,C7H5NO,Phenyl cyanate,18.034009889999904,14.2,0.67,0.54,0.69,-0.15,70740,119.12,119.037113783,119.037113783,0,9,0,2,2.2,33,C1=CC=C(C=C1)OC#N,118,1,14,4,1,9,6,2,0,1,7.0,5.0,1.0,1.0,,,,,,,,,,
