system,smiles,sites,substituents,base_smiles,n_subs,dv_c_sum,notes
3-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,3,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
3-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,3,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
3-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,3,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
3-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,3,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
4-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,4,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
4-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,4,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
4-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,4,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
4-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,4,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
4-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,4,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
4-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,4,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
4-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,4,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
4-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,4,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
4-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,4,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
5-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,5,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
5-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,5,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
5-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,5,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
5-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,5,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
5-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,5,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
5-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,5,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
5-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,5,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
5-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,5,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
5-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,5,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
6-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,6,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
6-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,6,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
6-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,6,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
6-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,6,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
6-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,6,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
6-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,6,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
6-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,6,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
6-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,6,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
6-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,6,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
7-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,7,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
7-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,7,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
7-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,7,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
7-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,7,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
7-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,7,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
7-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,7,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
7-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,7,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
7-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,7,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
7-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,7,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
8-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,8,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
8-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,8,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
8-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,8,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
8-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,8,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
8-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,8,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
8-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,8,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
8-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,8,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
8-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,8,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
8-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,8,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
9-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,9,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
9-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,9,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
9-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,9,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
9-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,9,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
9-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,9,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
9-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,9,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
9-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,9,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
9-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,9,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
9-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,9,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
"2,3-(CN)2-phen",C#N.C#N.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,36.00,
"2,3-CN/CHO-phen",C#N.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,31.80,
"2,3-CN/OCF3-phen",C#N.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CN/Cl-phen",C#N.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CN/Br-phen",Br.C#N.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CN/NH2-phen",C#N.N.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,27.00,
"2,3-CN/OMe-phen",C#N.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,23.00,
"2,3-CN/Me-phen",C.C#N.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CN/Et-phen",C#N.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","CN,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,22.00,
"2,3-CHO/CN-phen",C#N.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,31.80,
"2,3-(CHO)2-phen",C=O.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,27.60,
"2,3-CHO/OCF3-phen",C=O.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CHO/Cl-phen",C=O.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CHO/Br-phen",Br.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CHO/NH2-phen",C=O.N.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,22.80,
"2,3-CHO/OMe-phen",C=O.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,18.80,
"2,3-CHO/Me-phen",C.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-CHO/Et-phen",C=O.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","CHO,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,17.80,
"2,3-OCF3/CN-phen",C#N.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/CHO-phen",C=O.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(OCF3)2-phen",OC(F)(F)F.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/Cl-phen",Cl.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/Br-phen",Br.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/NH2-phen",N.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/OMe-phen",CO.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/Me-phen",C.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OCF3/Et-phen",CC.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OCF3,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/CN-phen",C#N.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/CHO-phen",C=O.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/OCF3-phen",Cl.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(Cl)2-phen",Cl.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/Br-phen",Br.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/NH2-phen",Cl.N.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/OMe-phen",CO.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/Me-phen",C.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Cl/Et-phen",CC.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Cl,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/CN-phen",Br.C#N.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/CHO-phen",Br.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/OCF3-phen",Br.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/Cl-phen",Br.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(Br)2-phen",Br.Br.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/NH2-phen",Br.N.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/OMe-phen",Br.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/Me-phen",Br.C.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Br/Et-phen",Br.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Br,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-NH2/CN-phen",C#N.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,27.00,
"2,3-NH2/CHO-phen",C=O.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,22.80,
"2,3-NH2/OCF3-phen",N.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-NH2/Cl-phen",Cl.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-NH2/Br-phen",Br.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(NH2)2-phen",N.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,18.00,
"2,3-NH2/OMe-phen",CO.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,14.00,
"2,3-NH2/Me-phen",C.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-NH2/Et-phen",CC.N.c1cnc2c(c1)ccc1cccnc12,"2,3","NH2,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,13.00,
"2,3-OMe/CN-phen",C#N.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,23.00,
"2,3-OMe/CHO-phen",C=O.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,18.80,
"2,3-OMe/OCF3-phen",CO.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OMe/Cl-phen",CO.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OMe/Br-phen",Br.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OMe/NH2-phen",CO.N.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,14.00,
"2,3-(OMe)2-phen",CO.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,10.00,
"2,3-OMe/Me-phen",C.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-OMe/Et-phen",CC.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","OMe,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,9.00,
"2,3-Me/CN-phen",C.C#N.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/CHO-phen",C.C=O.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/OCF3-phen",C.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/Cl-phen",C.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/Br-phen",Br.C.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/NH2-phen",C.N.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/OMe-phen",C.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(Me)2-phen",C.C.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Me/Et-phen",C.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Me,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Et/CN-phen",C#N.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,22.00,
"2,3-Et/CHO-phen",C=O.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,17.80,
"2,3-Et/OCF3-phen",CC.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Et/Cl-phen",CC.Cl.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Et/Br-phen",Br.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-Et/NH2-phen",CC.N.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,13.00,
"2,3-Et/OMe-phen",CC.CO.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,9.00,
"2,3-Et/Me-phen",C.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,3-(Et)2-phen",CC.CC.c1cnc2c(c1)ccc1cccnc12,"2,3","Et,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,8.00,
"2,4-(CN)2-phen",C#N.C#N.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,CN",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,36.00,
"2,4-CN/CHO-phen",C#N.C=O.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,CHO",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,31.80,
"2,4-CN/OCF3-phen",C#N.OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,OCF3",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,4-CN/Cl-phen",C#N.Cl.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,Cl",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,4-CN/Br-phen",Br.C#N.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,Br",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,4-CN/NH2-phen",C#N.N.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,NH2",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,27.00,
"2,4-CN/OMe-phen",C#N.CO.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,OMe",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,23.00,
"2,4-CN/Me-phen",C.C#N.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,Me",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,,
"2,4-CN/Et-phen",C#N.CC.c1cnc2c(c1)ccc1cccnc12,"2,4","CN,Et",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,2,22.00,
